MARRIAGE_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,TOTAL_FESTIVAL_DAYS_futcov,FESTIVE_PHASE_I_futcov,darts_enc_fc_pos_relative_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_cyc_month_sin_futcov,darts_enc_fc_cus_custom_futcov,darts_enc_fc_cyc_month_cos_futcov,PROP_FESTIVE_PHASE_I_futcov,PROP_PITRU_PAKSH_futcov,FESTIVE_PHASE_III_futcov,PROP_FESTIVE_PHASE_II_futcov,PITRU_PAKSH_futcov,LAST_YEAR_CONTRIBUTION_futcov,FESTIVE_PHASE_II_futcov
0.4,1.0,2.6,2.7,2.4,4.3,3.5000000000000004,8.0,4.6,5.8999999999999995,6.9,6.2,19.6,8.799999999999999,15.8,7.3
0.4,1.0999999999999999,2.7,2.5,2.4,4.2,2.4,7.9,4.3999999999999995,5.6000000000000005,5.7,5.8999999999999995,22.6,8.200000000000001,17.5,6.5
0.4,1.0999999999999999,2.6,2.1,2.1999999999999997,4.6,2.4,8.200000000000001,3.6999999999999997,5.6000000000000005,5.3,5.8999999999999995,25.4,8.200000000000001,16.3,6.0
0.5,0.8999999999999999,2.5,2.6,2.1,4.3999999999999995,3.9,7.8,4.7,6.2,7.3999999999999995,6.4,21.8,9.3,12.8,6.9
0.5,0.8999999999999999,2.5,2.6,2.1,4.3999999999999995,3.9,7.8,4.7,6.3,7.3999999999999995,6.4,21.8,9.3,12.6,6.9
0.6,0.6,2.4,4.6,2.5,4.3,8.7,6.5,4.6,7.5,15.299999999999999,8.799999999999999,5.7,10.4,8.5,9.0
0.7000000000000001,0.6,2.4,3.5000000000000004,2.0,5.800000000000001,8.3,6.1,4.0,7.6,13.5,9.8,8.9,9.3,8.6,8.9
0.7000000000000001,0.6,2.1999999999999997,3.5000000000000004,1.9,5.5,8.0,6.2,4.3999999999999995,7.6,13.200000000000001,9.4,10.6,9.2,8.7,8.3
0.6,0.7000000000000001,2.4,2.9000000000000004,2.1,4.6,5.5,7.5,5.2,6.800000000000001,9.700000000000001,7.000000000000001,16.6,10.100000000000001,10.7,7.5
0.6,0.7000000000000001,2.4,2.9000000000000004,2.1,4.6,5.3,7.5,5.1,6.7,9.4,6.9,17.4,10.0,10.8,7.3999999999999995
0.7000000000000001,0.8,1.3,4.0,2.0,3.6999999999999997,6.9,5.800000000000001,6.9,8.4,14.499999999999998,10.2,9.5,9.4,6.9,9.0
0.4,0.8999999999999999,2.4,3.6999999999999997,2.5,3.5000000000000004,5.800000000000001,6.6000000000000005,6.9,7.3,12.3,9.4,7.3,10.4,10.100000000000001,10.5
0.4,0.8,2.4,3.5999999999999996,2.1999999999999997,4.1000000000000005,5.8999999999999995,6.5,6.0,7.199999999999999,11.5,10.100000000000001,9.700000000000001,9.4,10.0,9.9
