MARRIAGE_DAYS_futcov,FESTIVE_PHASE_I_futcov,TOTAL_FESTIVAL_DAYS_futcov,darts_enc_fc_cus_custom_1_futcov,PROP_FESTIVE_PHASE_II_futcov,PROP_FESTIVE_PHASE_III_futcov,darts_enc_fc_pos_relative_futcov,FESTIVE_PHASE_II_futcov,LAST_YEAR_CONTRIBUTION_futcov,darts_enc_fc_cyc_month_cos_futcov,darts_enc_fc_cus_custom_futcov,PROP_FESTIVE_PHASE_I_futcov,FESTIVE_PHASE_III_futcov,PROP_PITRU_PAKSH_futcov,PITRU_PAKSH_futcov,darts_enc_fc_cyc_month_sin_futcov
1.5,1.5,2.1999999999999997,2.5,4.9,4.5,4.2,7.000000000000001,6.0,8.4,7.9,8.5,6.9,7.3,9.6,17.0
1.5,1.6,1.9,2.5,4.6,4.5,4.2,6.7,6.0,8.5,7.9,8.799999999999999,7.000000000000001,7.3,10.2,16.7
1.6,1.7000000000000002,1.4000000000000001,2.5,5.800000000000001,4.2,4.8,5.3,5.8999999999999995,9.1,7.1,7.199999999999999,7.7,8.7,9.4,17.5
1.6,1.6,1.4000000000000001,2.5,4.5,4.3,4.6,5.5,5.7,8.6,7.5,8.6,8.1,8.0,10.299999999999999,17.299999999999997
1.5,1.4000000000000001,2.0,2.6,4.6,4.3999999999999995,4.3999999999999995,6.4,5.7,8.200000000000001,8.5,10.2,7.5,6.6000000000000005,10.100000000000001,16.0
1.5,1.4000000000000001,2.1999999999999997,2.6,5.0,4.3999999999999995,4.3999999999999995,6.7,5.800000000000001,8.4,7.9,8.6,7.199999999999999,7.5,9.6,16.8
1.5,1.4000000000000001,2.1999999999999997,2.6,5.0,4.3999999999999995,4.3999999999999995,6.800000000000001,5.8999999999999995,8.5,7.9,8.5,7.1,7.5,9.5,16.900000000000002
1.5,1.5,2.1,2.6,5.2,4.6,4.2,7.000000000000001,6.1,8.7,7.8,8.3,6.800000000000001,7.000000000000001,9.6,17.0
1.7000000000000002,1.7000000000000002,1.3,2.5,6.1,4.2,4.8,5.3,6.0,9.3,7.1,7.1,7.6,8.6,9.2,17.4
1.0,1.7999999999999998,1.7999999999999998,2.9000000000000004,9.700000000000001,4.8,5.1,7.000000000000001,6.7,9.8,7.6,7.199999999999999,6.6000000000000005,9.3,8.4,10.4
1.2,1.6,1.4000000000000001,2.1,8.0,4.3999999999999995,5.4,6.5,6.4,10.8,7.3999999999999995,7.1,6.800000000000001,9.8,8.3,12.8
1.2,1.3,2.0,2.7,6.0,4.8,4.3999999999999995,8.1,6.7,9.4,7.6,7.3,6.5,8.9,9.0,14.099999999999998
1.3,1.4000000000000001,4.1000000000000005,2.8000000000000003,4.5,5.4,3.3000000000000003,6.4,11.1,5.3,14.399999999999999,20.7,4.5,1.7000000000000002,7.000000000000001,6.0
1.3,1.4000000000000001,4.0,2.7,4.2,5.0,3.3000000000000003,6.6000000000000005,10.4,5.3,14.499999999999998,20.599999999999998,4.6,2.0,7.199999999999999,6.800000000000001
1.3,1.5,4.1000000000000005,2.9000000000000004,4.3999999999999995,5.5,3.3000000000000003,6.800000000000001,11.600000000000001,5.5,14.099999999999998,19.2,4.7,1.7000000000000002,7.1,6.5
1.6,2.1,1.3,2.5,2.8000000000000003,3.8,5.6000000000000005,4.0,5.1,6.2,7.6,9.8,12.0,10.6,10.7,14.299999999999999
1.5,1.3,2.3,2.4,3.2,4.0,4.3999999999999995,6.2,4.3999999999999995,5.800000000000001,10.8,14.7,7.7,7.9,9.4,13.900000000000002
1.5,1.3,2.1,2.5,3.3000000000000003,4.1000000000000005,4.5,6.2,4.8,6.3,10.2,13.3,7.7,8.3,9.8,14.2
